,Player Name,Nation,Squad,Competition,Matches Played,Minutes Played,Gls 90,Ast 90,G+A 90,xG 90,xAG 90,Position,Age,Yellow Cards,Red Cards,Fouls commited,Fouls Drawn,Interceptions,Loose Ball Recovered,Aerial Duels Won %,Crosses,Shots on Target pr 90,Shots Total pr 90,Goals pr shot,Goals pr Shot on target,Average shooting distance,Short Cmp %,Medium Cmp%,Long Cmp%,Passes lead to shot,Completed passes into 1/3 offensive pitch,Completed passes into penalty area,Completed crosses into penalty area,Progressive passes,Tackles,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Tackle succes %,Number of times dribbled,Blocks total (shots+passes),Shots blocked,Passes blocked,Clearances,Shot creating actions 90,Completed liveball passes lead to shot,Completed deadball passes lead to shot,Succesfull dribbles lead to shot,Shot lead to another shot,Fouls Drawn lead to shot,Defensive actions lead to shot,Goal Creating Action 90,liveball passes lead to goal,Deadball passes lead to goal,Dribbles lead to goal,Shots that lead goal scoring shot,Fouls drawn lead to goal,Defensive actions lead to goal,Elo,market_value
1746,lucas robertone,ar ARG,Almería,es La Liga,14,1016,0.09,0.09,0.18,0.14,0.11,MF,25.0,3,0,15,30,16,60.0,29.2,52,0.27,1.33,0.07,0.33,21.4,89.9,82.7,45.1,15.0,32.0,13.0,3.0,33.0,15.0,6.0,7.0,2.0,31.6,13.0,22.0,3.0,19.0,14.0,3.19,22.0,11.0,0.0,1.0,2.0,0.0,0.27,2.0,1.0,0.0,0.0,0.0,0.0,1611,6000000.0
1747,andrew robertson,sct SCO,Liverpool,eng Premier League,12,861,0.0,0.42,0.42,0.04,0.25,DF,28.0,0,0,5,3,4,52.0,44.4,76,0.1,0.52,0.0,0.0,15.4,90.7,83.3,50.0,24.0,35.0,12.0,7.0,39.0,5.0,2.0,3.0,0.0,30.0,7.0,9.0,2.0,7.0,16.0,4.29,28.0,11.0,0.0,2.0,0.0,0.0,0.63,4.0,2.0,0.0,0.0,0.0,0.0,2000,55000000.0
1748,antonee robinson,us USA,Fulham,eng Premier League,13,1108,0.0,0.0,0.0,0.0,0.02,DF,25.0,4,0,9,8,11,85.0,56.0,41,0.0,0.08,0.0,0.0,27.8,86.8,75.6,43.9,7.0,34.0,18.0,8.0,32.0,22.0,17.0,5.0,0.0,80.0,3.0,22.0,7.0,15.0,37.0,2.11,24.0,1.0,1.0,0.0,0.0,0.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,1680,10000000.0
1749,marc roca,es ESP,Leeds United,eng Premier League,14,1031,0.09,0.09,0.17,0.08,0.04,MF,26.0,3,0,14,8,14,76.0,61.5,22,0.52,1.22,0.07,0.17,22.1,87.2,83.9,56.8,11.0,86.0,8.0,0.0,68.0,31.0,13.0,17.0,1.0,33.3,16.0,12.0,6.0,6.0,9.0,1.48,13.0,2.0,0.0,0.0,1.0,1.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,1711,12000000.0
1750,enzo roco,cl CHI,Elche,es La Liga,11,795,0.0,0.0,0.0,0.03,0.0,DF,30.0,2,0,17,7,6,40.0,73.7,0,0.0,0.45,0.0,0.0,10.6,88.3,92.9,61.8,0.0,23.0,2.0,0.0,18.0,11.0,9.0,2.0,0.0,60.0,4.0,7.0,5.0,2.0,22.0,0.45,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549,2000000.0
1751,sebastian rode,de GER,Eint Frankfurt,de Bundesliga,12,598,0.45,0.15,0.6,0.08,0.1,MF,32.0,2,0,10,11,5,39.0,50.0,3,0.45,0.6,0.75,1.0,17.2,90.9,90.6,63.9,7.0,38.0,4.0,0.0,29.0,15.0,4.0,10.0,1.0,35.7,9.0,7.0,1.0,6.0,8.0,2.11,12.0,0.0,0.0,0.0,2.0,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,1787,2500000.0
1752,joe rodon,wls WAL,Rennes,fr Ligue 1,9,808,0.11,0.0,0.11,0.1,0.0,DF,25.0,2,1,7,6,5,45.0,56.8,0,0.22,0.78,0.14,0.5,6.9,81.3,94.3,78.5,0.0,18.0,0.0,0.0,21.0,6.0,6.0,0.0,0.0,40.0,3.0,9.0,7.0,2.0,32.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1743,9000000.0
1753,rodri,es ESP,Manchester City,eng Premier League,13,1122,0.0,0.24,0.24,0.1,0.07,MF,26.0,1,0,18,7,14,119.0,70.0,2,0.32,1.6,0.0,0.0,20.0,92.4,93.5,83.1,11.0,121.0,12.0,0.0,72.0,26.0,11.0,14.0,1.0,61.1,7.0,18.0,6.0,12.0,14.0,3.21,37.0,0.0,0.0,2.0,1.0,0.0,0.64,8.0,0.0,0.0,0.0,0.0,0.0,2030,80000000.0
1754,rodrigo,es ESP,Leeds United,eng Premier League,13,886,0.91,0.1,1.02,0.55,0.12,FW,31.0,1,0,13,3,2,26.0,34.8,11,1.32,3.86,0.21,0.62,16.1,79.3,70.5,54.8,10.0,17.0,6.0,1.0,9.0,10.0,1.0,5.0,4.0,44.4,5.0,6.0,2.0,4.0,13.0,2.13,14.0,0.0,2.0,5.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,1711,9000000.0
1755,rodrigo,es ESP,Betis,es La Liga,11,696,0.13,0.0,0.13,0.09,0.01,FW,22.0,0,0,3,15,6,36.0,0.0,16,0.26,0.65,0.2,0.5,14.4,93.3,86.0,69.2,3.0,21.0,10.0,2.0,26.0,5.0,1.0,3.0,1.0,60.0,2.0,4.0,0.0,4.0,0.0,2.84,17.0,1.0,1.0,1.0,2.0,0.0,0.39,2.0,0.0,0.0,0.0,1.0,0.0,1763,9000000.0
1758,dani rodriguez,es ESP,Mallorca,es La Liga,13,689,0.0,0.26,0.26,0.03,0.14,MF,34.0,5,0,15,9,10,43.0,11.8,10,0.39,0.91,0.0,0.0,21.9,87.7,81.2,63.6,12.0,18.0,8.0,0.0,24.0,15.0,8.0,6.0,1.0,46.2,7.0,8.0,2.0,6.0,7.0,2.87,17.0,2.0,1.0,1.0,0.0,1.0,0.52,3.0,0.0,0.0,0.0,0.0,1.0,1634,1200000.0
1759,guido rodriguez,ar ARG,Betis,es La Liga,12,1043,0.0,0.0,0.0,0.03,0.01,MF,28.0,2,0,16,20,13,74.0,50.0,3,0.35,0.69,0.0,0.0,25.3,92.4,91.7,69.1,5.0,48.0,2.0,0.0,36.0,38.0,15.0,19.0,4.0,60.7,11.0,19.0,6.0,13.0,24.0,1.21,12.0,0.0,0.0,1.0,1.0,0.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,1763,28000000.0
1761,ricardo rodriguez,ch SUI,Torino,it Serie A,13,948,0.0,0.0,0.0,0.02,0.02,DF,30.0,0,0,12,5,16,65.0,50.0,17,0.09,0.47,0.0,0.0,26.5,91.0,92.2,51.6,5.0,46.0,4.0,2.0,29.0,23.0,12.0,8.0,3.0,84.6,2.0,17.0,9.0,8.0,24.0,1.71,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637,3500000.0
1762,rodrygo,br BRA,Real Madrid,es La Liga,12,912,0.39,0.39,0.79,0.6,0.37,FW,21.0,1,0,9,18,3,19.0,44.4,8,1.18,3.75,0.08,0.25,17.5,90.5,86.4,80.0,17.0,21.0,8.0,2.0,15.0,9.0,1.0,5.0,3.0,25.0,3.0,9.0,0.0,9.0,3.0,4.64,29.0,0.0,8.0,6.0,4.0,0.0,0.99,6.0,0.0,3.0,0.0,1.0,0.0,1952,80000000.0
1764,agustin rogel,uy URU,Hertha BSC,de Bundesliga,8,675,0.0,0.0,0.0,0.06,0.0,DF,25.0,4,0,11,4,9,27.0,54.5,0,0.0,0.27,0.0,0.0,7.2,80.6,86.0,54.2,0.0,6.0,0.0,0.0,11.0,9.0,6.0,3.0,0.0,100.0,0.0,8.0,2.0,6.0,28.0,0.27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1626,4500000.0
1765,rogerio,br BRA,Sassuolo,it Serie A,14,1153,0.0,0.16,0.16,0.01,0.06,DF,24.0,2,0,5,12,13,58.0,33.3,46,0.0,0.23,0.0,0.0,26.1,93.4,84.1,62.7,8.0,44.0,22.0,10.0,45.0,14.0,7.0,3.0,4.0,46.7,8.0,13.0,3.0,10.0,26.0,1.95,21.0,3.0,0.0,0.0,1.0,0.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,1625,5800000.0
1766,alessio romagnoli,it ITA,Lazio,it Serie A,14,1194,0.08,0.0,0.08,0.03,0.01,DF,27.0,0,0,9,6,18,46.0,61.2,0,0.15,0.53,0.14,0.5,15.4,93.2,91.8,74.2,1.0,30.0,3.0,0.0,22.0,19.0,10.0,9.0,0.0,54.5,5.0,14.0,12.0,2.0,51.0,0.38,4.0,1.0,0.0,0.0,0.0,0.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,1725,18000000.0
1767,cristian romero,ar ARG,Tottenham,eng Premier League,8,658,0.0,0.0,0.0,0.09,0.03,DF,24.0,1,0,8,2,11,45.0,68.0,0,0.27,0.68,0.0,0.0,12.1,90.1,94.2,73.1,3.0,29.0,5.0,0.0,24.0,19.0,8.0,11.0,0.0,38.5,8.0,11.0,3.0,8.0,26.0,0.68,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1876,55000000.0
1771,oriol romeu,es ESP,Girona,es La Liga,11,990,0.09,0.0,0.09,0.09,0.02,MF,31.0,4,0,24,6,14,58.0,46.2,9,0.18,1.0,0.09,0.5,17.8,91.3,91.2,68.1,6.0,44.0,6.0,2.0,32.0,33.0,19.0,10.0,4.0,52.4,10.0,14.0,4.0,10.0,12.0,1.45,14.0,0.0,0.0,1.0,1.0,0.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,1601,5000000.0
1772,cristiano ronaldo,pt POR,Manchester Utd,eng Premier League,10,525,0.17,0.0,0.17,0.32,0.07,FW,37.0,2,0,7,5,1,12.0,65.2,3,1.03,4.29,0.04,0.17,17.7,87.6,69.2,20.0,6.0,7.0,1.0,0.0,7.0,2.0,1.0,0.0,1.0,50.0,1.0,0.0,0.0,0.0,9.0,1.89,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850,27000000.0
1775,valentin rongier,fr FRA,Marseille,fr Ligue 1,14,1086,0.0,0.0,0.0,0.04,0.08,MF,28.0,4,0,20,9,19,81.0,71.4,1,0.0,0.58,0.0,0.0,23.7,91.2,91.4,78.6,14.0,68.0,13.0,1.0,55.0,25.0,10.0,12.0,3.0,42.9,12.0,19.0,5.0,14.0,14.0,2.49,27.0,0.0,1.0,0.0,0.0,2.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,1737,14000000.0
1776,marten de roon,nl NED,Atalanta,it Serie A,13,1029,0.0,0.09,0.09,0.01,0.01,MF,31.0,3,0,13,6,14,72.0,56.7,4,0.0,0.17,0.0,0.0,26.5,87.8,82.3,62.9,4.0,32.0,4.0,0.0,28.0,22.0,12.0,10.0,0.0,48.0,13.0,6.0,2.0,4.0,22.0,1.31,14.0,0.0,0.0,0.0,1.0,0.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,1732,12000000.0
1777,pablo rosario,nl NED,Nice,fr Ligue 1,10,673,0.0,0.0,0.0,0.03,0.04,MF,25.0,4,0,10,5,12,32.0,54.5,2,0.0,0.4,0.0,0.0,14.9,91.7,92.0,81.8,6.0,32.0,9.0,1.0,31.0,12.0,5.0,5.0,2.0,71.4,2.0,6.0,3.0,3.0,16.0,2.01,14.0,0.0,0.0,0.0,1.0,0.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,1647,7000000.0
1780,anthony rouault,fr FRA,Toulouse,fr Ligue 1,15,1342,0.07,0.0,0.07,0.06,0.03,DF,21.0,0,0,6,7,27,82.0,64.1,0,0.2,0.47,0.14,0.33,9.3,92.3,93.7,66.9,3.0,38.0,0.0,0.0,48.0,25.0,19.0,6.0,0.0,50.0,14.0,25.0,12.0,13.0,57.0,0.2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1554,6000000.0
1782,nicolo rovella,it ITA,Monza,it Serie A,10,802,0.0,0.0,0.0,0.04,0.12,MF,21.0,2,1,12,9,20,61.0,50.0,14,0.11,1.01,0.0,0.0,27.0,91.7,91.4,77.8,14.0,65.0,9.0,2.0,43.0,17.0,8.0,8.0,1.0,50.0,7.0,12.0,1.0,11.0,5.0,3.37,29.0,1.0,0.0,0.0,0.0,0.0,0.34,3.0,0.0,0.0,0.0,0.0,0.0,1544,12000000.0
1784,amir rrahmani,xk KVX,Napoli,it Serie A,8,711,0.0,0.0,0.0,0.11,0.03,DF,28.0,1,0,4,7,2,43.0,59.5,1,0.0,1.01,0.0,0.0,14.9,93.3,95.7,74.2,4.0,33.0,1.0,0.0,30.0,13.0,9.0,4.0,0.0,71.4,2.0,15.0,8.0,7.0,27.0,1.14,7.0,0.0,1.0,1.0,0.0,0.0,0.25,2.0,0.0,0.0,0.0,0.0,0.0,1905,25000000.0
1787,antonio rudiger,de GER,Real Madrid,es La Liga,12,686,0.13,0.0,0.13,0.12,0.01,DF,29.0,1,0,2,0,4,49.0,75.0,2,0.26,0.92,0.14,0.5,11.9,96.6,96.1,69.2,2.0,27.0,3.0,0.0,17.0,3.0,2.0,1.0,0.0,66.7,1.0,5.0,3.0,2.0,24.0,0.92,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1952,40000000.0
1791,mario rui,pt POR,Napoli,it Serie A,12,969,0.0,0.46,0.46,0.04,0.25,DF,31.0,2,0,10,16,12,81.0,40.0,53,0.19,0.56,0.0,0.0,23.3,92.3,84.3,61.9,32.0,58.0,27.0,10.0,57.0,17.0,10.0,5.0,2.0,61.1,7.0,8.0,2.0,6.0,18.0,4.82,34.0,16.0,1.0,0.0,1.0,0.0,0.74,7.0,1.0,0.0,0.0,0.0,0.0,1905,8000000.0
1792,aitor ruibal,es ESP,Betis,es La Liga,13,563,0.0,0.0,0.0,0.08,0.17,DF,26.0,1,0,13,6,13,30.0,40.0,7,0.16,1.12,0.0,0.0,19.8,89.4,74.4,57.1,7.0,21.0,4.0,2.0,14.0,17.0,15.0,1.0,1.0,55.6,8.0,4.0,0.0,4.0,14.0,2.71,14.0,0.0,1.0,1.0,1.0,0.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,1763,5000000.0
1797,georginio rutter,fr FRA,Hoffenheim,de Bundesliga,15,1009,0.18,0.18,0.36,0.27,0.21,FW,20.0,2,0,17,19,5,25.0,29.0,11,1.25,2.41,0.07,0.14,15.7,67.6,58.8,83.3,10.0,11.0,9.0,0.0,23.0,7.0,1.0,4.0,2.0,33.3,2.0,10.0,2.0,8.0,6.0,3.21,22.0,0.0,8.0,2.0,4.0,0.0,0.36,2.0,0.0,2.0,0.0,0.0,0.0,1683,16000000.0
1798,julian ryerson,no NOR,Union Berlin,de Bundesliga,13,1037,0.0,0.0,0.0,0.06,0.04,DF,25.0,2,0,16,12,12,77.0,31.3,41,0.43,1.39,0.0,0.0,24.0,85.1,72.5,40.7,8.0,22.0,12.0,8.0,21.0,28.0,17.0,10.0,1.0,65.2,8.0,15.0,3.0,12.0,19.0,2.26,18.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750,7500000.0
1799,youssouf sabaly,sn SEN,Betis,es La Liga,9,630,0.0,0.0,0.0,0.01,0.05,DF,29.0,0,0,6,15,8,46.0,33.3,4,0.14,0.43,0.0,0.0,26.9,89.9,83.8,45.8,6.0,20.0,5.0,0.0,22.0,14.0,11.0,3.0,0.0,88.9,1.0,13.0,3.0,10.0,18.0,2.14,10.0,1.0,2.0,0.0,1.0,1.0,0.14,0.0,0.0,1.0,0.0,0.0,0.0,1763,4000000.0
1801,abdelhamid sabiri,ma MAR,Sampdoria,it Serie A,11,840,0.11,0.0,0.11,0.11,0.13,MF,26.0,3,0,21,28,2,36.0,58.1,44,0.75,2.57,0.04,0.14,25.0,80.0,70.5,45.8,11.0,35.0,12.0,0.0,31.0,14.0,5.0,5.0,4.0,27.3,8.0,15.0,2.0,13.0,3.0,3.21,16.0,5.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505,3000000.0
1802,marcel sabitzer,at AUT,Bayern Munich,de Bundesliga,14,627,0.14,0.14,0.29,0.15,0.05,MF,28.0,2,0,7,1,10,47.0,42.1,4,0.72,2.15,0.07,0.2,21.7,91.7,88.3,59.4,6.0,36.0,5.0,0.0,36.0,26.0,10.0,10.0,6.0,58.8,7.0,3.0,0.0,3.0,9.0,1.58,9.0,0.0,0.0,0.0,0.0,2.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,2016,20000000.0
1803,falaye sacko,ml MLI,Montpellier,fr Ligue 1,12,881,0.0,0.2,0.2,0.03,0.05,DF,27.0,1,0,8,8,14,55.0,25.0,14,0.0,0.31,0.0,0.0,12.8,88.3,86.0,50.0,10.0,17.0,5.0,2.0,18.0,18.0,7.0,8.0,3.0,71.4,4.0,18.0,6.0,12.0,22.0,1.43,12.0,1.0,1.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,1542,4000000.0
1807,wesley said,fr FRA,Lens,fr Ligue 1,12,400,1.13,0.0,1.13,0.55,0.2,FW,27.0,1,0,13,1,1,14.0,25.0,3,1.8,4.05,0.28,0.63,14.2,84.1,87.2,77.8,6.0,11.0,11.0,0.0,14.0,2.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,4.0,1.0,2.93,8.0,0.0,4.0,1.0,0.0,0.0,0.45,0.0,0.0,2.0,0.0,0.0,0.0,1722,2500000.0
1808,allan saint maximin,fr FRA,Newcastle Utd,eng Premier League,7,378,0.24,0.71,0.95,0.2,0.28,FW,25.0,1,0,3,8,4,26.0,100.0,10,1.19,2.86,0.08,0.2,18.0,74.6,69.0,72.7,8.0,7.0,13.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.95,18.0,0.0,4.0,1.0,2.0,0.0,1.43,4.0,0.0,1.0,0.0,1.0,0.0,1842,40000000.0
1811,bukayo saka,eng ENG,Arsenal,eng Premier League,14,1171,0.31,0.46,0.77,0.34,0.23,FW,21.0,3,0,18,19,8,51.0,22.2,57,0.61,2.15,0.11,0.38,15.3,89.4,79.1,56.9,29.0,16.0,23.0,7.0,27.0,15.0,5.0,3.0,7.0,22.2,7.0,14.0,0.0,14.0,8.0,4.38,39.0,10.0,0.0,6.0,1.0,1.0,1.0,9.0,3.0,0.0,1.0,0.0,0.0,1921,90000000.0
1812,hamza sakhi,ma MAR,Auxerre,fr Ligue 1,15,1194,0.08,0.08,0.15,0.09,0.19,MF,26.0,1,0,11,15,16,71.0,71.4,54,0.38,1.58,0.05,0.2,23.6,88.0,84.7,71.1,27.0,77.0,17.0,7.0,61.0,37.0,17.0,15.0,5.0,54.5,15.0,7.0,1.0,6.0,8.0,3.7,38.0,5.0,1.0,3.0,2.0,0.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,1502,2000000.0
1813,mamadou sakho,fr FRA,Montpellier,fr Ligue 1,7,392,0.23,0.0,0.23,0.09,0.0,DF,32.0,1,0,2,4,5,22.0,50.0,0,0.23,0.46,0.5,1.0,7.2,91.5,90.3,50.0,0.0,10.0,0.0,0.0,8.0,6.0,2.0,4.0,0.0,66.7,1.0,7.0,5.0,2.0,13.0,0.46,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1542,3500000.0
1815,mohamed salah,eg EGY,Liverpool,eng Premier League,14,1236,0.44,0.22,0.66,0.51,0.16,FW,30.0,0,0,10,8,2,24.0,22.2,9,1.46,3.64,0.12,0.3,15.0,83.3,73.3,60.0,29.0,13.0,29.0,3.0,41.0,5.0,1.0,1.0,3.0,42.9,4.0,5.0,0.0,5.0,2.0,3.79,39.0,0.0,5.0,6.0,1.0,1.0,0.51,3.0,0.0,0.0,2.0,1.0,1.0,2000,80000000.0
1816,amine salama,fr FRA,Angers,fr Ligue 1,13,532,0.51,0.17,0.68,0.35,0.05,FW,22.0,0,0,2,5,2,13.0,35.3,3,1.02,2.71,0.19,0.5,15.1,78.7,72.7,66.7,4.0,5.0,5.0,0.0,6.0,3.0,0.0,2.0,1.0,0.0,4.0,6.0,2.0,4.0,2.0,2.54,8.0,0.0,3.0,2.0,2.0,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1490,1800000.0
1817,william saliba,fr FRA,Arsenal,eng Premier League,14,1245,0.14,0.07,0.22,0.02,0.06,DF,21.0,4,0,10,3,9,120.0,59.4,1,0.14,0.22,0.67,1.0,12.5,95.6,93.8,77.0,3.0,41.0,2.0,0.0,33.0,22.0,14.0,6.0,2.0,84.6,2.0,7.0,5.0,2.0,39.0,0.58,6.0,2.0,0.0,0.0,0.0,0.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,1921,50000000.0
1818,mohammed salisu,gh GHA,Southampton,eng Premier League,14,1260,0.0,0.07,0.07,0.05,0.03,DF,23.0,4,0,18,1,15,92.0,69.0,11,0.07,0.57,0.0,0.0,11.7,87.2,81.7,41.3,4.0,55.0,4.0,3.0,40.0,38.0,27.0,10.0,1.0,73.9,6.0,37.0,15.0,22.0,72.0,1.07,10.0,3.0,1.0,1.0,0.0,0.0,0.14,1.0,1.0,0.0,0.0,0.0,0.0,1673,18000000.0
1819,roland sallai,hu HUN,Freiburg,de Bundesliga,8,376,0.0,0.0,0.0,0.28,0.08,MF,25.0,3,0,12,15,1,21.0,61.9,10,0.72,3.59,0.0,0.0,17.4,81.0,65.7,55.6,6.0,6.0,4.0,2.0,6.0,4.0,1.0,3.0,0.0,33.3,4.0,4.0,0.0,4.0,1.0,2.87,6.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787,12000000.0
1820,yoann salmier,gf GUF,Troyes,fr Ligue 1,13,1070,0.08,0.0,0.08,0.08,0.02,DF,30.0,3,1,12,12,20,60.0,63.6,3,0.17,0.67,0.13,0.5,16.2,89.9,87.1,55.3,2.0,50.0,0.0,0.0,35.0,23.0,11.0,9.0,3.0,72.2,5.0,16.0,9.0,7.0,29.0,0.76,6.0,0.0,0.0,2.0,1.0,0.0,0.08,0.0,0.0,0.0,0.0,1.0,0.0,1537,2000000.0
1822,lazar samardzic,de GER,Udinese,it Serie A,14,528,0.51,0.17,0.68,0.14,0.19,MF,20.0,0,0,8,7,7,42.0,21.4,21,1.02,2.56,0.2,0.5,23.0,94.7,87.8,65.0,14.0,26.0,9.0,2.0,24.0,13.0,3.0,7.0,3.0,37.5,10.0,3.0,0.0,3.0,6.0,5.45,19.0,8.0,2.0,1.0,1.0,1.0,0.68,2.0,1.0,0.0,0.0,0.0,1.0,1669,4500000.0
1827,samuel,br BRA,Valencia,es La Liga,14,1215,0.15,0.0,0.15,0.18,0.07,FW,22.0,3,0,19,23,4,56.0,35.0,39,1.19,2.81,0.05,0.13,17.4,89.5,76.9,40.7,14.0,21.0,12.0,3.0,25.0,23.0,7.0,14.0,2.0,40.0,9.0,12.0,0.0,12.0,2.0,3.56,32.0,0.0,8.0,2.0,5.0,1.0,0.59,5.0,0.0,0.0,1.0,2.0,0.0,1690,1500000.0
1828,fede san emeterio,es ESP,Cádiz,es La Liga,13,789,0.0,0.0,0.0,0.02,0.0,MF,25.0,4,0,24,13,3,26.0,52.9,0,0.0,0.34,0.0,0.0,17.5,87.8,87.0,61.0,1.0,20.0,1.0,0.0,13.0,9.0,5.0,2.0,2.0,25.0,9.0,17.0,7.0,10.0,7.0,0.46,4.0,0.0,0.0,0.0,0.0,0.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,1600,2000000.0
1829,antonio sanabria,py PAR,Torino,it Serie A,10,679,0.27,0.13,0.4,0.3,0.16,FW,26.0,2,0,10,9,3,23.0,41.8,0,0.8,2.25,0.12,0.33,12.7,82.0,73.9,60.0,8.0,10.0,6.0,0.0,7.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,1.86,12.0,0.0,1.0,0.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,1637,7000000.0
1831,oihan sancet,es ESP,Athletic Club,es La Liga,14,938,0.29,0.0,0.29,0.21,0.12,MF,22.0,2,0,14,21,3,60.0,61.5,4,0.29,1.54,0.13,0.67,19.1,92.2,85.2,69.6,14.0,33.0,9.0,0.0,30.0,9.0,1.0,5.0,3.0,26.7,11.0,4.0,0.0,4.0,3.0,2.88,26.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728,20000000.0
1833,alexis sanchez,cl CHI,Marseille,fr Ligue 1,12,854,0.53,0.0,0.53,0.47,0.24,FW,33.0,1,0,18,15,1,24.0,36.8,11,0.95,2.32,0.23,0.56,13.9,81.9,76.7,72.7,19.0,27.0,22.0,0.0,35.0,7.0,3.0,3.0,1.0,0.0,4.0,4.0,0.0,4.0,2.0,3.58,28.0,1.0,1.0,2.0,2.0,0.0,0.21,1.0,0.0,0.0,0.0,1.0,0.0,1737,4500000.0
1834,antonio sanchez,es ESP,Mallorca,es La Liga,14,580,0.0,0.0,0.0,0.07,0.06,MF,25.0,4,0,14,11,8,44.0,44.4,13,0.62,1.4,0.0,0.0,23.1,84.4,84.1,76.0,2.0,16.0,3.0,1.0,10.0,6.0,4.0,1.0,1.0,23.1,10.0,7.0,0.0,7.0,3.0,1.71,6.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634,1800000.0
1835,davinson sanchez,co COL,Tottenham,eng Premier League,10,531,0.0,0.0,0.0,0.05,0.01,DF,26.0,1,0,5,3,10,23.0,60.9,2,0.17,0.51,0.0,0.0,7.4,96.6,93.1,44.7,1.0,23.0,1.0,1.0,18.0,14.0,10.0,3.0,1.0,100.0,0.0,7.0,6.0,1.0,24.0,0.68,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1876,25000000.0
1836,ivan sanchez,es ESP,Valladolid,es La Liga,11,555,0.0,0.0,0.0,0.08,0.16,FW,30.0,0,0,6,17,1,27.0,0.0,17,0.65,1.46,0.0,0.0,23.4,86.4,90.2,61.3,8.0,19.0,6.0,4.0,18.0,7.0,3.0,1.0,3.0,41.7,7.0,6.0,0.0,6.0,0.0,3.09,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1622,800000.0
1837,javi sanchez,es ESP,Valladolid,es La Liga,12,1003,0.09,0.0,0.09,0.04,0.0,DF,25.0,4,0,13,3,18,46.0,55.9,2,0.09,0.45,0.2,1.0,17.3,91.6,94.5,62.5,1.0,23.0,1.0,0.0,26.0,14.0,9.0,5.0,0.0,57.1,3.0,15.0,12.0,3.0,53.0,0.45,5.0,0.0,0.0,0.0,0.0,0.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,1622,3000000.0
