,Player Name,Nation,Squad,Competition,Matches Played,Minutes Played,Gls 90,Ast 90,G+A 90,xG 90,xAG 90,Position,Age,Yellow Cards,Red Cards,Fouls commited,Fouls Drawn,Interceptions,Loose Ball Recovered,Aerial Duels Won %,Crosses,Shots on Target pr 90,Shots Total pr 90,Goals pr shot,Goals pr Shot on target,Average shooting distance,Short Cmp %,Medium Cmp%,Long Cmp%,Passes lead to shot,Completed passes into 1/3 offensive pitch,Completed passes into penalty area,Completed crosses into penalty area,Progressive passes,Tackles,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Tackle succes %,Number of times dribbled,Blocks total (shots+passes),Shots blocked,Passes blocked,Clearances,Shot creating actions 90,Completed liveball passes lead to shot,Completed deadball passes lead to shot,Succesfull dribbles lead to shot,Shot lead to another shot,Fouls Drawn lead to shot,Defensive actions lead to shot,Goal Creating Action 90,liveball passes lead to goal,Deadball passes lead to goal,Dribbles lead to goal,Shots that lead goal scoring shot,Fouls drawn lead to goal,Defensive actions lead to goal,Elo,market_value
757,marco friedl,at AUT,Werder Bremen,de Bundesliga,14,1154,0.0,0.0,0.0,0.0,0.03,DF,24.0,3,1,8,15,35,108.0,46.9,19,0.0,0.08,0.0,0.0,33.3,93.5,86.5,62.6,7.0,57.0,13.0,5.0,47.0,23.0,15.0,8.0,0.0,59.1,9.0,21.0,7.0,14.0,46.0,1.17,12.0,3.0,0.0,0.0,0.0,0.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,1647,6500000.0
758,marvin friedrich,de GER,M'Gladbach,de Bundesliga,14,963,0.09,0.0,0.09,0.06,0.04,DF,27.0,1,0,1,2,11,53.0,69.8,0,0.28,0.65,0.14,0.33,13.5,93.8,93.4,48.1,4.0,16.0,0.0,0.0,25.0,13.0,10.0,2.0,1.0,80.0,2.0,9.0,4.0,5.0,39.0,0.65,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730,8000000.0
759,jeremie frimpong,nl NED,Leverkusen,de Bundesliga,15,1175,0.38,0.15,0.54,0.31,0.21,DF,22.0,1,0,9,28,9,48.0,37.5,30,0.61,1.15,0.33,0.63,11.0,87.7,76.5,42.4,14.0,20.0,13.0,5.0,24.0,26.0,12.0,12.0,2.0,55.0,9.0,13.0,1.0,12.0,23.0,2.99,25.0,0.0,6.0,2.0,6.0,0.0,0.31,3.0,0.0,0.0,0.0,1.0,0.0,1759,25000000.0
760,chris fuhrich,de GER,Stuttgart,de Bundesliga,14,873,0.21,0.0,0.21,0.12,0.19,MF,24.0,2,0,5,6,4,45.0,25.0,29,0.52,1.65,0.13,0.4,17.8,86.8,81.8,51.1,12.0,24.0,8.0,0.0,27.0,25.0,12.0,11.0,2.0,65.2,8.0,18.0,2.0,16.0,4.0,3.51,22.0,8.0,1.0,1.0,2.0,0.0,0.41,3.0,1.0,0.0,0.0,0.0,0.0,1628,4000000.0
761,angelo fulgini,fr FRA,Mainz 05,de Bundesliga,14,493,0.0,0.18,0.18,0.07,0.12,MF,26.0,0,0,7,12,5,27.0,33.3,7,0.55,1.1,0.0,0.0,18.5,91.1,68.3,40.0,6.0,13.0,10.0,1.0,22.0,6.0,2.0,3.0,1.0,50.0,5.0,4.0,0.0,4.0,6.0,3.1,16.0,0.0,0.0,0.0,1.0,0.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,1686,9000000.0
762,niclas fullkrug,de GER,Werder Bremen,de Bundesliga,14,1217,0.74,0.15,0.89,0.57,0.15,FW,29.0,4,0,16,19,0,45.0,58.3,10,1.18,3.18,0.16,0.44,17.0,70.9,62.2,63.3,19.0,30.0,16.0,1.0,49.0,2.0,0.0,1.0,1.0,25.0,3.0,8.0,4.0,4.0,17.0,2.74,29.0,0.0,0.0,4.0,4.0,0.0,0.37,4.0,0.0,0.0,1.0,0.0,0.0,1647,5000000.0
763,matteo gabbia,it ITA,Milan,it Serie A,6,399,0.0,0.0,0.0,0.01,0.0,DF,23.0,0,0,3,1,3,22.0,75.0,1,0.0,0.23,0.0,0.0,19.8,80.6,90.7,64.4,0.0,7.0,0.0,0.0,6.0,10.0,9.0,1.0,0.0,83.3,1.0,5.0,2.0,3.0,20.0,0.68,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1839,7000000.0
764,manolo gabbiadini,it ITA,Sampdoria,it Serie A,13,573,0.16,0.16,0.31,0.28,0.19,MF,31.0,2,0,10,19,1,14.0,39.5,13,1.1,3.46,0.05,0.14,21.1,75.8,61.2,30.0,5.0,10.0,7.0,0.0,13.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,2.0,2.35,8.0,0.0,0.0,6.0,1.0,0.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,1505,3000000.0
767,javi galan,es ESP,Celta Vigo,es La Liga,14,1255,0.0,0.07,0.07,0.02,0.09,DF,28.0,2,0,20,31,8,86.0,52.6,57,0.0,0.36,0.0,0.0,22.7,90.2,81.1,46.9,18.0,29.0,17.0,9.0,35.0,44.0,27.0,15.0,2.0,45.7,19.0,20.0,1.0,19.0,14.0,2.29,27.0,2.0,1.0,0.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,1634,12000000.0
768,inigo ruiz de galarreta,es ESP,Mallorca,es La Liga,12,854,0.0,0.0,0.0,0.02,0.05,MF,29.0,5,0,21,16,11,59.0,33.3,12,0.21,0.74,0.0,0.0,25.8,87.3,92.9,66.7,8.0,45.0,9.0,0.0,33.0,23.0,13.0,8.0,2.0,50.0,6.0,7.0,3.0,4.0,9.0,2.21,19.0,2.0,0.0,0.0,0.0,0.0,0.21,1.0,1.0,0.0,0.0,0.0,0.0,1634,2000000.0
